AMPLASAMENT,NR. LOCURI,LOCALIZARE AMPLASAMENT,ORAS, PRET 
Academiei,96,Între bd. Regina Elisabeta și I. Campineanu,București, 10.00 lei 
Alee Legatura Banu Antonache si Calea Floreasca,29,,București, 2.50 lei 
ALEEA CAUZASI,8,INTERSECTIA CU BD. MIRCEA VODA,București, 5.00 lei 
ALEEA PRIVIGHETORILOR 1,59,INTRE AL.PRIVIGHETORILOR SI SERBAN CANTACUZINO,București, 2.50 lei 
ALEXANDRU BELDIMAN,56,INTRE BD. REGINA ELISABETA SI STR. EFORIE,București, 5.00 lei 
ALEXANDRU CONSTANTINESCU,153,INTRE BD. MARASESTI SI BD. ION MIHALACHE,București, 2.50 lei 
ALEXANDRU IOAN CUZA 1,57,INTRE GH. DUCA SI DR. I. FELIX,București, 5.00 lei 
ALEXANDRU IOAN CUZA 2,47,INTRE GH. DUCA SI C-TIN DISESCU,București, 5.00 lei 
ALEXANDRU IOAN CUZA 3,76,INTRE SOS. N.TITULESCU SI STR. C-TIN DISESCU,București, 5.00 lei 
ARISTIDE DEMETRIADE,7,INTRE STR. BREZOIANU SI STR. GEORGE VRACA,București, 5.00 lei 
PICTOR ARTHUR VERONA,41,"STR. PICTOR VERONA, INTRE BD. MAGHERU SI STR. PITAR MOS",București, 5.00 lei 
ARTHUR VERONA 2,70,INTRE PITAR MOS SI J.L.CALDERON,București, 5.00 lei 
AVIATORILOR 1D,223,INTRE ROND PESCARUS SI PIATA CHARLES DE GAULLE,București, 5.00 lei 
AVIATORILOR 1S,181,INTRE ROND PESCARUS SI PIATA CHARLES DE GAULLE,București, 5.00 lei 
AVIATORILOR 2D,175,INTRE PIATA CHARLES DE GAULLE SI GH. DEMETRIADE,București, 5.00 lei 
AVIATORILOR 2S,181,INTRE PTA CHARLES DE GAULLE SI STR. GH. DEMETRIADE,București, 5.00 lei 
AVIATORILOR 3S,85,INTRE PIATA VICTORIEI SI STR. CAPITAN GHE. DEMETRIADE,București, 5.00 lei 
AVRIG 1,145,INTRE BD. FERDINAND SI STR. CHIRISTIGIILOR,București, 2.50 lei 
AVRIG 2,159,INTRE SOS. IANCULUI SI STR. RITMULUI,București, 2.50 lei 
BALANESCU ROSETTI,23,INTRE CALEA FLOREASCA SI STR. BANUL ANTONACHE,București, 2.50 lei 
BANU MANTA 1,65,INTRE STR. G-RAL VLADOIANU BARBU SI STR. FROSA SARANDY,București, 2.50 lei 
BANU MANTA 2,65,INTRE STR. FROSA SARANDY SI BD. I. MIHALACHE,București, 2.50 lei 
BANUL ANTONACHE,126,,București, 2.50 lei 
BARBU DELAVRANCEA,68,INTRE BD. ION MIHALACHE SI STR. ION MINCU,București, 5.00 lei 
BASARABIA 1,495,INTRE PIATA MUNCII SI BD. CHISINAU,București, 2.50 lei 
BATISTEI,58,INTRE BD. NICOLAE BALCESCU SI STR. I.L.CARAGIALE,București, 10.00 lei 
BCU – BIBLIOTECA CENTRALA UNIVERSITARA,22,"STR. DEM. I. DOBRESCU, INTRE CALEA VICTORIEI SI STR. BOTEANU",București, 5.00 lei 
GENERAL BERTHELOT,36,INTRE STR. L.CAZAVILLIAN SI STR. POPA TATU,București, 5.00 lei 
GENERAL BERTHELOT 2,57,INTRE STR. LUTERANA SI CALEA VICTORIEI,București, 5.00 lei 
GENERAL BERTHELOT 3,89,INTRE STR. POPA TATU SI STR. BERZEI,București, 5.00 lei 
BIBESCU VODA,59,INTRE SP. INDEPENDENTEI SI BD. D. CANTEMIR,București, 5.00 lei 
BISERICA ENEI,82,INTRE STR. ACADEMIEI SI STR. EDGAR QUINET,București, 10.00 lei 
